Rank,Name,POP2010,AREAkm,AREAmi
415,"Zephyrhills, FL",66609,112.70,43.50
416,"Hanover, PA",66301,93.50,36.10
417,"Monessen--California, PA",66086,115.80,44.70
418,"Michigan City--La Porte, IN—MI",66025,100.90,39.00
419,"Glens Falls, NY",65443,107.60,41.60
420,"Jonesboro, AR",65419,121.60,47.00
421,"Conway, AR",65277,102.80,39.70
422,"Great Falls, MT",65207,80.60,31.10
423,"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,81.40,31.40
424,"Casper, WY",64548,78.60,30.30
425,"Fairbanks, AK",64513,142.80,55.10
426,"Gadsden, AL",64172,186.60,72.00
427,"Saratoga Springs, NY",64100,117.80,45.50
428,"Petaluma, CA",64078,55.20,21.30
429,"Twin Rivers--Hightstown, NJ",64037,91.30,35.20
430,"Beckley, WV",64022,157.90,61.00
431,"Longview, WA—OR",63952,85.10,32.90
432,"Beloit, WI—IL",63835,89.00,34.40
433,"Los Lunas, NM",63758,179.40,69.30
434,"Victoria, TX",63683,75.20,29.00
435,"Mount Vernon, WA",62966,89.30,34.50
436,"Corvallis, OR",62433,54.70,21.10
437,"Kokomo, IN",62182,93.90,36.30
438,"Sherman, TX",61900,93.10,35.90
439,"Sebring--Avon Park, FL",61625,119.60,46.20
440,"Grand Forks, ND—MN",61270,63.30,24.40
441,"Bangor, ME",61210,110.10,42.50
442,"Goldsboro, NC",61054,137.00,52.90
443,"Benton Harbor--St. Joseph--Fair Plain, MI",61022,120.90,46.70
444,"Rome, GA",60851,123.50,47.70
445,"Ames, IA",60438,60.20,23.20
446,"Lewiston, ME",59397,91.70,35.40
447,"San Luis Obispo, CA",59219,52.90,20.40
448,"Pittsfield, MA",59124,86.80,33.50
449,"Morristown, TN",59036,155.00,59.80
450,"Midland, MI",59014,116.20,44.90
451,"Lexington Park--California--Chesapeake Ranch Estates, MD",58875,129.30,49.90
452,"Jefferson City, MO",58533,103.60,40.00
453,"Middletown, NY",58381,81.10,31.30
454,"Carson City, NV",58079,59.80,23.10
455,"Watertown, NY",57840,106.00,40.90
456,"Mankato, MN",57584,68.30,26.40
457,"Kingston, NY",57442,110.90,42.80
458,"Daphne--Fairhope, AL",57383,143.10,55.30
459,"Albany, OR",56997,62.10,24.00
460,"Hazleton, PA",56827,80.90,31.20
461,"Staunton--Waynesboro, VA",56611,98.80,38.10
462,"Williamsport, PA",56142,68.60,26.50
463,"Kahului, HI",55934,43.20,16.70
464,"Walla Walla, WA—OR",55805,71.70,27.70
465,"Woodland, CA",55513,31.60,12.20
466,"Hot Springs, AR",55121,116.40,44.90
467,"Columbus, IN",54933,70.60,27.30
468,"Fond du Lac, WI",54901,74.70,28.90
469,"Manhattan, KS",54622,53.60,20.70
470,"Titusville, FL",54386,77.90,30.10
471,"Delano, CA",54372,25.70,9.90
472,"East Stroudsburg, PA—NJ",54316,134.90,52.10
473,"Ithaca, NY",53661,63.70,24.60
474,"Bloomsburg--Berwick, PA",53618,84.70,32.70
475,"Pine Bluff, AR",53495,96.30,37.20
