FID,X,Y,N1,D1,N2,D2,N3,D3
F206,12058741.26290,3513268.18579,F207,175.72821686904715,F208,263.13444916243884,F205,287.4356779958369
F207,12058588.90330,3513355.74696,F206,175.72821686904715,F205,290.8613972553823,F208,363.45743861012767
F208,12058943.18240,3513436.91117,F206,263.13444916243884,F209,347.8671284228195,F207,363.45743861012767
F209,12058810.14300,3513758.33310,F210,187.60652782421803,F208,347.8671284228195,F211,417.11492809148143
F210,12058876.56220,3513933.78879,F209,187.60652782421803,F211,268.2501111650064,F212,367.6463752975825
F211,12059127.21260,3514029.35290,F212,193.16928262231315,F210,268.2501111650064,F209,417.11492809148143
F212,12059238.94040,3513871.77349,F211,193.16928262231315,F203,332.1562963221007,F210,367.6463752975825
F213,12058172.75880,3514796.04789,F85,389.5833426400303,F76,552.9047097084341,F75,573.8605507543865
F214,12057489.68570,3514166.67054,F86,383.35898728436837,F75,391.99561644484885,F83,530.7476593515486
F215,12056768.70940,3514078.42400,F83,279.80319471278494,F216,333.6586951140271,F82,585.6205735850343
F216,12056456.29240,3514195.57238,F215,333.6586951140271,F154,501.8097480112632,F83,611.3410099759075
F217,12056661.26970,3514823.77159,F153,353.68385040749706,F154,388.02522613909315,F216,660.7949310943363
F218,12058166.68960,3512946.20808,F205,386.5255680368913,F81,387.24728925306204,F219,448.9995512384397
F219,12057861.09600,3512617.25041,F220,320.4071723483794,F221,336.95311229262813,F218,448.9995512384397
F220,12057706.86540,3512898.09499,F221,195.32805774764856,F219,320.4071723483794,F79,339.05283837084005
F221,12057560.25940,3512769.02241,F220,195.32805774764856,F219,336.95311229262813,F84,338.9195003860459
F222,12054626.17010,3512090.33381,F224,323.19653574658133,F223,328.7251328080523,F44,870.3548216750629
F223,12054954.77930,3512081.60417,F222,328.7251328080523,F224,402.5572798806998,F44,542.4532185264615
F224,12054711.23720,3512402.13437,F222,323.19653574658133,F223,402.5572798806998,F43,668.1721794332755
F225,12056712.49230,3511299.85803,F226,245.77862049216273,F200,377.02616455261744,F229,421.7109561709695
F226,12056483.96430,3511209.40316,F227,205.14071155088183,F225,245.77862049216273,F229,298.3136162146982
F227,12056282.59980,3511248.58287,F226,205.14071155088183,F228,407.5420538559592,F796,418.2533250660808
F228,12055908.95200,3511085.86272,F796,323.61642691561724,F227,407.5420538559592,F45,582.3518681664441
F229,12056537.86900,3510916.00020,F226,298.3136162146982,F230,324.39315512129167,F795,325.45800943413485
F230,12056529.56100,3510591.71345,F795,148.25740531055712,F229,324.39315512129167,F796,473.3271674302944
F231,12056383.56450,3510033.89632,F230,576.6063896057344,F795,594.3261139907264,F232,658.5866542563645
F232,12056323.56730,3509378.04823,F231,658.5866542563645,F230,1231.0226117657937,F795,1251.7211175150076
F233,12056515.75360,3507787.83454,F760,542.3862936141306,F765,735.9474966118618,F97,1025.0517699281033
F234,12021522.17130,3517735.06104,F235,80.72779210138722,F236,671.9539049979763,F237,1608.6174482027102
F235,12021583.62950,3517682.71731,F234,80.72779210138722,F236,673.3803954056768,F237,1606.6490755433365
F236,12021979.15340,3518227.69621,F234,671.9539049979763,F235,673.3803954056768,F237,936.6925261787335
F237,12022624.49000,3518906.61709,F238,798.1060761039735,F236,936.6925261787335,F239,1201.7980775466563
